Level 2;Description;ISIN/IBAN;Risk Ccy;Quantity;Maturity;YTM;Cost price;Exchange rate;Market price;Exchange rate;Market value;Accrued interest;Chg price(%);Chg price(abs);Chg total(%);Chg total(abs);Market value USD;% of net assets
Short-term investments;1629949.001001/USD/ORD;CH82 0875 4444444;USD;400,625.76;;;;;;;400,625.76;0;;;;;400,625.76;7.45%
Short-term investments;1629949.001002/EUR/ORD;CH69 0875 33333;EUR;393,080.01;;;;;;ÿíâ.01;393,080.01;0;;;;;467,785.55;8.70%
Short-term investments;1629949.001003/PLN/ORD;CH05 0875 22222;PLN;16,400.09;;;;;;ìàð.92;16,382.80;'-17.29;;;;;4,267.19;0.08%
Short-term investments;1629949.001004/HKD/ORD;CH55 0875 11111;HKD;51.21;;;;;;èþë.49;51.21;0;;;;;èþí.58;0.00%
Short-term investments;Fixed Advance HKD, 1.64%, 26.03.2021-30.04.2021 (1017038);;;'-1,899,000.00;30. Apr 21;;1;7.768;;èþë.49;'-1,900,124.63;'-1,124.63;0.00%;;0.22%;528.21;'-244,079.38;-4.54%
Short-term investments;FX Swap Far Leg - HKD/USD, 12.07.2021 (903847);;;'-760,137.04;12. Jul 21;;;èþë.89;;èþë.49;'-6,341.84;0;;;;;'-814.64;'-0.02%
Bonds;3.375% Schaeffler 12.10.2028 Reg-S Senior;DE000A3H2TA0;EUR;100,000.00;12 Oct 2028;1.94%;100.92%;1.1791;109.93%;ÿíâ.01;111,570.89;1,645.89;8.92%;9;9.93%;11,814.75;132,775.13;2.47%
Bonds;3.5% CNAC (HK) Finbr 19.07.2022 Reg-S Senior;XS1644429695;USD;200,000.00;19. Jul 22;1.82%;100.14%;;102.14%;;205,806.11;1,536.11;1.99%;2;1.99%;3,990.43;205,806.11;3.83%
Bonds;3.8% Zhengzhou Urban 16.01.2025 Senior;XS2100019137;USD;200,000.00;16. Jan 25;3.52%;99.50%;;101.08%;;203,891.11;1,731.11;1.59%;ÿíâ.58;1.59%;3,160.00;203,891.11;3.79%
Bonds;3.875% Ageas Open End FRN Reg-S Subordinated;BE6317598850;EUR;200,000.00;;;100.53%;1.182;106.80%;ÿíâ.01;220,002.33;6,412.33;6.23%;èþí.27;6.96%;16,530.88;261,814.15;4.87%
Bonds;3.897% GAZ Fin Open End FRN Reg-S Senior;XS2243636219;EUR;300,000.00;;;100.25%;1.1813;100.92%;ÿíâ.01;305,051.17;2,306.17;0.66%;0.67;1.41%;5,020.96;363,026.67;6.75%
Bonds;3.9% Chang Dev 12.09.2022 Senior;XS2049035657;USD;200,000.00;12. Sep 22;4.57%;99.70%;;99.15%;;198,863.33;563.33;'-0.55%;'-0.55;'-0.55%;'-1,098.28;198,863.33;3.70%
Bonds;3% Vodafone Group 27.08.2080 FRN Reg-S Junior Subordinated;XS2225204010;EUR;100,000.00;27. Aug 80;;104.76%;ÿíâ.08;103.94%;ÿíâ.01;105,781.10;1,841.10;'-0.79%;'-0.82;'-2.48%;'-3,148.92;125,884.98;2.34%
Bonds;4.843% Globo Comunic 08.06.2025 Reg-S Senior;USP47773AN93;USD;200,000.00;08. Jun 25;3.74%;100.58%;;104.37%;;211,958.67;3,228.67;3.76%;ìàð.78;3.76%;7,564.85;211,958.67;3.94%
Bonds;4.85% Logan Grp 14.12.2026 Senior;XS2272214458;USD;200,000.00;14 Dec 2026;4.69%;101.44%;;101.06%;;205,191.67;3,071.67;'-0.38%;'-0.38;'-0.38%;'-767.77;205,191.67;3.82%
Bonds;5.05% Embraer Neth 15.06.2025 Senior;US29082HAA05;USD;100,000.00;15. Jun 25;3.98%;93.74%;;104.23%;;105,815.14;1,585.14;11.19%;îêò.49;11.19%;10,492.08;105,815.14;1.97%
Bonds;5.125% Vivo Ener Invts 24.09.2027 Reg-S Senior;XS2231814570;USD;200,000.00;24. Sep 27;3.93%;102.00%;;107.00%;;214,398.61;398.61;4.90%;5;4.90%;9,991.25;214,398.61;3.99%
Bonds;5.75% Agile Grp Hldgs 02.01.2025 Reg-S Senior;XS2194361494;USD;200,000.00;02. Jan 25;5.03%;103.26%;;102.62%;;208,306.67;3,066.67;'-0.62%;'-0.64;'-0.62%;'-1,288.66;208,306.67;3.87%
Bonds;5.875% Arcos Dor Hldg 04.04.2027 Reg-S Senior;USG0457FAC17;USD;100,000.00;04. Apr 27;4.75%;105.09%;;106.10%;;106,160.28;65.28;0.95%;1;0.95%;1,002.43;106,160.28;1.97%
Bonds;5% Pakuwon Prima 14.02.2024 Senior;XS1517977093;USD;200,000.00;14. Feb 24;4.08%;98.25%;;102.56%;;206,610.00;1,500.00;4.38%;àïð.31;4.38%;8,610.00;206,610.00;3.84%
Bonds;5% UBS Group Open End FRN Reg-S Junior Subordinated;CH0400441280;USD;200,000.00;;;92.30%;;100.93%;;203,738.89;1,888.89;9.34%;àâã.63;9.34%;17,250.00;203,738.89;3.79%
Bonds;6.25% Cydsa 04.10.2027 Reg-S Senior;USP3R26HAA81;USD;200,000.00;4 Oct 2027;5.41%;104.27%;;104.94%;;210,008.89;138.89;0.64%;0.67;0.64%;1,338.28;210,008.89;3.91%
Bonds;6.5% TechnipFMC 01.02.2026 Reg-S Senior;USG87110AC93;USD;100,000.00;01. Feb 26;5.17%;104.89%;;105.90%;;107,145.83;1,245.83;0.97%;01.ÿíâ;0.97%;1,013.30;107,145.83;1.99%
Bonds;7.125% Stillwater Mining 27.06.2025 -144A- Senior;US86074QAN25;USD;200,000.00;27. Jun 25;5.93%;105.65%;;104.72%;;213,437.92;3,997.92;'-0.88%;'-0.93;'-0.88%;'-1,850.17;213,437.92;3.97%
Bonds;7.125% Teva Pharma Fin 31.01.2025 Senior;US88167AAN19;USD;200,000.00;31. Jan 25;2.35%;110.28%;;117.38%;;237,449.67;2,691.67;6.44%;07.ÿíâ;6.44%;14,196.12;237,449.67;4.42%
Bonds;7% ams 31.07.2025 Reg-S Senior;USA0400QAD90;USD;200,000.00;31. Jul 25;4.80%;104.79%;;108.69%;;220,019.44;2,644.44;3.72%;ìàð.89;3.72%;7,787.59;220,019.44;4.09%
Equities;Akamai Technologies Inc;US00971T1016;USD;500;;;102.5313;;102.49;;51,245.00;0;'-0.04%;'-0.04;'-0.04%;'-20.65;51,245.00;0.95%
Equities;Alibaba Group Holding Ltd;KYG017191142;USD;5;;;239.2083;èþë.36;222;èþë.49;1,110,000.00;0;'-7.19%;'-17.21;'-7.57%;'-11,671.95;142,584.39;2.65%
Equities;Allianz SE Registered;DE0008404005;EUR;100;;;196.7219;1.182;220;ÿíâ.01;22,000.00;0;11.83%;23.28;12.60%;2,928.67;26,181.14;0.49%
Equities;Bayer AG Registered;DE000BAY0017;EUR;1;;;49.3411;1.182;53.51;ÿíâ.01;53,510.00;0;8.45%;àïð.17;9.19%;5,358.57;63,679.67;1.18%
Equities;CNOOC Ltd;HK0883013259;HKD;100;;;8.0909;èþë.36;àâã.14;èþë.49;814,000.00;0;0.61%;0.05;0.20%;212.02;104,561.89;1.94%
Equities;DCC PLC;IE0002424939;GBP;700;;;58.8144;ÿíâ.52;63.7;ÿíâ.87;44,590.00;0;8.31%;àïð.89;7.80%;4,447.47;61,476.34;1.14%
Equities;Enel S.p.A.;IT0003128367;EUR;5;;;8.0932;ÿíâ.34;8.586;ÿíâ.01;42,930.00;0;6.09%;0.49;3.19%;1,580.91;51,088.92;0.95%
Equities;Gold Fields Ltd ADR;US38059T1060;USD;5;;;àâã.38;;10.ÿíâ;;50,500.00;0;12.93%;ÿíâ.16;12.93%;5,780.85;50,500.00;0.94%
Equities;Novorossiysk Commercial Sea Port PJSC GDR;US67011U2087;USD;500;;;ñåí.42;;9;;4,500.00;0;'-3.17%;'-0.29;'-3.17%;'-147.09;4,500.00;0.08%
Equities;Polymetal International PLC;JE00B6T5S470;GBP;2;;;15.5274;1.425;14.31;ÿíâ.87;28,620.00;0;'-7.84%;'-1.22;'-10.84%;'-4,795.39;39,458.46;0.73%
Equities;Put Daqo New En Sp ADR 16.April 2021 USD 70;;USD;'-10;16. Apr 21;;11.ìàé;;àïð.92;;'-4,989.20;0;54.85%;'-6.06;54.85%;6,060.80;'-4,989.20;'-0.09%
Equities;Royal Dutch Shell-A PLC;GB00B03MLX29;EUR;3,3;;;15.0963;ÿíâ.12;16.866;ÿíâ.01;55,657.80;0;11.72%;ÿíâ.77;10.68%;6,392.47;66,235.66;1.23%
Equities;Xinyi Solar Holdings Ltd;KYG9829N1025;HKD;60;;;15.6599;èþë.12;13.èþë;èþë.49;822,000.00;0;'-12.52%;'-1.96;'-12.78%;'-15,474.37;105,589.52;1.96%
Equities;Zurich Insurance Group Ltd Registered;CH0011075394;CHF;100;;;362.4396;0.9138;407.5;0.9278;40,750.00;0;12.43%;45.06;10.73%;4,256.03;43,921.10;0.82%
